Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		95.0		100.0		95.0
  B		72.5		77.5		70.0		72.5		77.5		74.0
  C		97.5		97.5		97.5		97.5		105.0		99.0
  D		70.0		77.5		82.5		72.5		82.5		77.0
  E		80.0		80.0		85.0		82.5		75.0		80.5
  F		90.0		87.5		87.5		87.5		95.0		89.5
  G		62.5		62.5		67.5		67.5		70.0		66.0
  H		95.0		97.5		97.5		97.5		102.50		98.0
  I		85.0		87.5		85.0		87.5		95.0		88.0
  J		85.0		85.0		82.5		87.5		85.0		85.0
  K		90.0		90.0		90.0		87.5		95.0		90.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		90.0		90.0		87.5		85.0		87.5
  N		90.0		90.0		92.5		92.5		95.0		92.0
  O		92.5		90.0		90.0		87.5		87.5		89.5
  P		92.5		95.0		92.5		92.5		92.5		93.0
  Q		67.5		72.5		67.5		72.5		72.5		70.5
  R		82.5		85.0		87.5		85.0		85.0		85.0
  S		95.0		92.5		95.0		92.5		97.5		94.5
  T		92.5		92.5		85.0		95.0		102.50		93.5
  U		90.0		95.0		90.0		90.0		97.5		92.5
  V		90.0		87.5		87.5		92.5		92.5		90.0
  W		87.5		82.5		85.0		87.5		87.5		86.0
  X		90.0		87.5		87.5		90.0		97.5		90.5
  Y		85.0		85.0		90.0		77.5		87.5		85.0
  Z		95.0		97.5		97.5		97.5		105.0		98.5
MEDIA	86.73076923076923	87.59615384615384	87.3076923076923	87.40384615384616	90.96153846153847	440.0

