Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		92.5		102.50		95.0
  B		72.5		75.0		67.5		80.0		85.0		76.0
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		77.5		82.5		85.0		75.0		95.0		83.0
  E		82.5		77.5		80.0		85.0		85.0		82.0
  F		92.5		90.0		87.5		92.5		90.0		90.5
  G		60.0		77.5		80.0		65.0		82.5		73.0
  H		92.5		97.5		97.5		95.0		107.5		98.0
  I		85.0		90.0		90.0		87.5		90.0		88.5
  J		90.0		92.5		80.0		90.0		87.5		88.0
  K		90.0		95.0		95.0		87.5		90.0		91.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		95.0		85.0		82.5		87.5		87.0
  N		90.0		87.5		92.5		90.0		102.50		92.5
  O		95.0		92.5		87.5		90.0		85.0		90.0
  P		95.0		95.0		92.5		92.5		92.5		93.5
  Q		75.0		77.5		70.0		65.0		82.5		74.0
  R		85.0		82.5		90.0		87.5		90.0		87.0
  S		95.0		92.5		95.0		97.5		97.5		95.5
  T		90.0		95.0		90.0		97.5		97.5		94.0
  U		87.5		95.0		90.0		87.5		100.0		92.0
  V		90.0		90.0		85.0		92.5		92.5		90.0
  W		90.0		77.5		80.0		87.5		92.5		85.5
  X		87.5		92.5		90.0		90.0		95.0		91.0
  Y		87.5		82.5		87.5		75.0		90.0		84.5
  Z		95.0		97.5		97.5		95.0		107.5		98.5
MEDIA	87.6923076923077	89.23076923076923	87.6923076923077	87.5	93.5576923076923	445.6730769230769

