Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		30.0		20.0		25.0		27.5		32.5		27.0
  B		52.5		55.0		50.0		45.0		55.0		51.5
  C		32.5		35.0		37.5		37.5		7.5		30.0
  D		47.5		55.0		60.0		47.5		60.0		54.0
  E		42.5		27.5		30.0		32.5		40.0		34.5
  F		22.5		37.5		32.5		30.0		35.0		31.5
  G		60.0		40.0		47.5		35.0		30.0		42.5
  H		27.5		20.0		12.5		22.5		30.0		22.5
  I		37.5		32.5		32.5		52.5		37.5		38.5
  J		40.0		32.5		40.0		37.5		17.5		33.5
  K		35.0		32.5		32.5		27.5		30.0		31.5
  L		20.0		22.5		12.5		17.5		12.5		17.0
  M		27.5		15.0		32.5		20.0		22.5		23.5
  N		27.5		22.5		27.5		22.5		27.5		25.5
  O		70.0		60.0		57.5		65.0		45.0		59.5
  P		35.0		20.0		22.5		25.0		25.0		25.5
  Q		50.0		57.5		60.0		62.5		45.0		55.0
  R		35.0		32.5		35.0		22.5		35.0		32.0
  S		27.5		25.0		22.5		27.5		10.0		22.5
  T		27.5		22.5		35.0		32.5		40.0		31.5
  U		65.0		55.0		65.0		62.5		42.5		58.0
  V		62.5		50.0		62.5		57.5		47.5		56.0
  W		45.0		35.0		40.0		42.5		37.5		40.0
  X		40.0		25.0		27.5		30.0		22.5		29.0
  Y		30.0		30.0		30.0		37.5		30.0		31.5
  Z		22.5		17.5		12.5		15.0		25.0		18.5
MEDIA	38.94230769230769	33.75		36.25		35.96153846153846	32.40384615384615	35.462

