Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A		32.5		22.5		32.5		27.5		25.0		28.0
  B		87.5		85.0		95.0		90.0		75.0		86.5
  C		50.0		50.0		50.0		40.0		35.0		45.0
  D		97.5		87.5		90.0		95.0		65.0		87.0
  E		60.0		57.5		50.0		57.5		52.5		55.5
  F		52.5		37.5		47.5		52.5		45.0		47.0
  G		67.5		72.5		72.5		57.5		65.0		67.0
  H		30.0		30.0		27.5		25.0		27.5		28.0
  I		72.5		70.0		77.5		80.0		57.5		71.5
  J		72.5		72.5		62.5		67.5		32.5		61.5
  K		42.5		35.0		40.0		40.0		40.0		39.5
  L		30.0		27.5		25.0		27.5		22.5		26.5
  M		50.0		42.5		45.0		42.5		37.5		43.5
  N		47.5		52.5		50.0		45.0		37.5		46.5
  O		102.5		102.5		100.0		107.5		62.5		95.0
  P		52.5		50.0		57.5		52.5		45.0		51.5
  Q		87.5		75.0		75.0		80.0		65.0		76.5
  R		40.0		50.0		47.5		40.0		52.5		46.0
  S		25.0		27.5		20.0		32.5		25.0		26.0
  T		45.0		40.0		47.5		47.5		50.0		46.0
  U		72.5		85.0		80.0		90.0		60.0		77.5
  V		55.0		67.5		67.5		72.5		45.0		61.5
  W		62.5		47.5		62.5		60.0		52.5		57.0
  X		47.5		47.5		57.5		45.0		35.0		46.5
  Y		47.5		45.0		35.0		50.0		42.5		44.0
  Z		30.0		30.0		25.0		27.5		12.5		25.0
MEDIA	56.15384615384615	54.23076923076923	55.38461538461539	55.86538461538461	44.80769230769231	53.288

