Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		95.0		100.0		95.0
  B		72.5		75.0		70.0		67.5		80.0		73.0
  C		97.5		97.5		97.5		97.5		105.0		99.0
  D		72.5		75.0		80.0		72.5		82.5		76.5
  E		80.0		80.0		82.5		77.5		77.5		79.5
  F		90.0		87.5		87.5		87.5		95.0		89.5
  G		62.5		62.5		70.0		67.5		75.0		67.5
  H		95.0		95.0		95.0		95.0		102.50		96.5
  I		85.0		90.0		85.0		87.5		92.5		88.0
  J		85.0		85.0		82.5		85.0		87.5		85.0
  K		90.0		90.0		92.5		87.5		90.0		90.0
  L		95.0		95.0		95.0		95.0		105.0		97.0
  M		82.5		85.0		82.5		80.0		90.0		84.0
  N		90.0		90.0		92.5		92.5		95.0		92.0
  O		92.5		90.0		90.0		87.5		87.5		89.5
  P		90.0		92.5		92.5		92.5		97.5		93.0
  Q		65.0		70.0		67.5		70.0		72.5		69.0
  R		80.0		85.0		87.5		82.5		92.5		85.5
  S		95.0		92.5		95.0		92.5		97.5		94.5
  T		92.5		92.5		92.5		95.0		95.0		93.5
  U		90.0		95.0		90.0		90.0		97.5		92.5
  V		90.0		87.5		87.5		92.5		92.5		90.0
  W		85.0		80.0		82.5		85.0		92.5		85.0
  X		90.0		87.5		90.0		90.0		95.0		90.5
  Y		85.0		85.0		90.0		77.5		87.5		85.0
  Z		95.0		97.5		97.5		97.5		105.0		98.5
MEDIA	86.25	86.82692307692308	87.11538461538461	86.15384615384616	91.92307692307692	438.26923076923083

