Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		92.5		102.50		95.0
  B		72.5		80.0		67.5		77.5		75.0		74.5
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		67.5		82.5		85.0		72.5		90.0		79.5
  E		82.5		77.5		85.0		80.0		80.0		81.0
  F		92.5		90.0		87.5		92.5		90.0		90.5
  G		62.5		72.5		77.5		65.0		72.5		70.0
  H		95.0		97.5		97.5		95.0		102.50		97.5
  I		85.0		87.5		87.5		90.0		92.5		88.5
  J		87.5		90.0		77.5		90.0		97.5		88.5
  K		92.5		95.0		95.0		87.5		92.5		92.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		90.0		85.0		82.5		90.0		86.5
  N		90.0		90.0		92.5		92.5		97.5		92.5
  O		92.5		90.0		87.5		90.0		85.0		89.0
  P		92.5		95.0		92.5		92.5		97.5		94.0
  Q		67.5		75.0		65.0		70.0		85.0		72.5
  R		90.0		82.5		85.0		82.5		90.0		86.0
  S		95.0		90.0		95.0		95.0		100.0		95.0
  T		90.0		92.5		90.0		97.5		100.0		94.0
  U		87.5		92.5		90.0		92.5		100.0		92.5
  V		87.5		87.5		92.5		90.0		92.5		90.0
  W		87.5		80.0		87.5		87.5		87.5		86.0
  X		82.5		90.0		90.0		92.5		100.0		91.0
  Y		87.5		85.0		85.0		80.0		92.5		86.0
  Z		97.5		97.5		97.5		97.5		102.50		98.5
MEDIA	86.92307692307692	88.46153846153847	87.6923076923077	87.6923076923077	93.07692307692308	443.84615384615387

