Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		100.0		95.0		87.5		92.5		100.0		95.0
  B		80.0		85.0		65.0		85.0		85.0		80.0
  C		100.0		100.0		97.5		100.0		100.0		99.5
  D		75.0		87.5		80.0		77.5		90.0		82.0
  E		80.0		77.5		80.0		90.0		87.5		83.0
  F		95.0		82.5		92.5		92.5		95.0		91.5
  G		65.0		85.0		75.0		67.5		72.5		73.0
  H		95.0		100.0		95.0		97.5		100.0		97.5
  I		82.5		90.0		92.5		87.5		92.5		89.0
  J		95.0		95.0		75.0		90.0		90.0		89.0
  K		87.5		97.5		95.0		92.5		90.0		92.5
  L		95.0		92.5		100.0		100.0		100.0		97.5
  M		85.0		97.5		90.0		80.0		85.0		87.5
  N		85.0		92.5		97.5		90.0		95.0		92.0
  O		90.0		92.5		92.5		85.0		82.5		88.5
  P		95.0		95.0		90.0		95.0		87.5		92.5
  Q		77.5		80.0		72.5		62.5		80.0		74.5
  R		80.0		90.0		90.0		90.0		87.5		87.5
  S		95.0		90.0		97.5		95.0		97.5		95.0
  T		92.5		92.5		90.0		100.0		97.5		94.5
  U		90.0		100.0		87.5		92.5		92.5		92.5
  V		90.0		90.0		87.5		90.0		92.5		90.0
  W		87.5		80.0		82.5		95.0		90.0		87.0
  X		90.0		87.5		92.5		92.5		95.0		91.5
  Y		90.0		90.0		87.5		65.0		92.5		85.0
  Z		95.0		100.0		100.0		97.5		100.0		98.5
MEDIA	88.17307692307692	90.96153846153847	88.17307692307692	88.5576923076923	91.4423076923077	447.3076923076923

