Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		92.5		92.5		95.0		97.5		94.5
  B		77.5		77.5		72.5		77.5		75.0		76.0
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		72.5		75.0		85.0		77.5		82.5		78.5
  E		80.0		80.0		85.0		80.0		75.0		80.0
  F		92.5		87.5		87.5		90.0		92.5		90.0
  G		62.5		65.0		72.5		65.0		75.0		68.0
  H		95.0		97.5		97.5		97.5		102.50		98.0
  I		85.0		90.0		87.5		87.5		90.0		88.0
  J		90.0		87.5		80.0		90.0		90.0		87.5
  K		90.0		90.0		90.0		85.0		100.0		91.0
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		82.5		87.5		85.0		82.5		92.5		86.0
  N		90.0		92.5		95.0		90.0		95.0		92.5
  O		92.5		90.0		85.0		90.0		87.5		89.0
  P		92.5		92.5		92.5		92.5		97.5		93.5
  Q		70.0		72.5		67.5		65.0		80.0		71.0
  R		87.5		87.5		87.5		87.5		92.5		88.5
  S		95.0		92.5		95.0		95.0		95.0		94.5
  T		95.0		92.5		85.0		97.5		97.5		93.5
  U		90.0		95.0		92.5		90.0		95.0		92.5
  V		90.0		90.0		90.0		90.0		92.5		90.5
  W		87.5		82.5		85.0		87.5		87.5		86.0
  X		92.5		90.0		90.0		92.5		90.0		91.0
  Y		85.0		85.0		90.0		80.0		90.0		86.0
  Z		97.5		97.5		97.5		97.5		102.50		98.5
MEDIA	87.78846153846153	87.88461538461539	87.78846153846153	87.59615384615384	91.53846153846153	442.5961538461538

