Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		95.0		97.5		94.5
  B		72.5		72.5		67.5		62.5		80.0		71.0
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		67.5		77.5		80.0		77.5		85.0		77.5
  E		80.0		77.5		80.0		80.0		77.5		79.0
  F		90.0		87.5		90.0		87.5		92.5		89.5
  G		60.0		62.5		62.5		65.0		62.5		62.5
  H		95.0		97.5		97.5		97.5		97.5		97.0
  I		85.0		87.5		87.5		87.5		97.5		89.0
  J		87.5		87.5		85.0		87.5		85.0		86.5
  K		90.0		90.0		90.0		87.5		95.0		90.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		87.5		85.0		82.5		90.0		86.0
  N		92.5		90.0		92.5		92.5		95.0		92.5
  O		90.0		90.0		82.5		87.5		95.0		89.0
  P		92.5		92.5		92.5		95.0		97.5		94.0
  Q		65.0		67.5		67.5		70.0		75.0		69.0
  R		85.0		82.5		87.5		85.0		87.5		85.5
  S		95.0		92.5		95.0		92.5		102.49999999999999		95.5
  T		92.5		95.0		92.5		95.0		95.0		94.0
  U		87.5		95.0		92.5		87.5		97.5		92.0
  V		90.0		90.0		87.5		90.0		92.5		90.0
  W		87.5		82.5		85.0		87.5		87.5		86.0
  X		90.0		87.5		90.0		90.0		95.0		90.5
  Y		85.0		85.0		90.0		75.0		87.5		84.5
  Z		95.0		97.5		97.5		97.5		105.0		98.5
MEDIA	86.53846153846153	87.11538461538461	87.01923076923077	86.53846153846153	91.4423076923077	87.73076923076923

