Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		92.5		102.49999999999999		95.0
  B		67.5		80.0		67.5		70.0		70.0		71.0
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		70.0		80.0		82.5		80.0		80.0		78.5
  E		82.5		77.5		82.5		72.5		85.0		80.0
  F		92.5		87.5		87.5		90.0		97.5		91.0
  G		62.5		67.5		70.0		62.5		75.0		67.5
  H		95.0		97.5		97.5		95.0		102.49999999999999		97.5
  I		87.5		87.5		90.0		87.5		90.0		88.5
  J		90.0		90.0		82.5		90.0		90.0		88.5
  K		92.5		95.0		95.0		87.5		92.5		92.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		87.5		85.0		82.5		90.0		86.0
  N		90.0		90.0		92.5		92.5		97.5		92.5
  O		90.0		90.0		87.5		87.5		87.5		88.5
  P		92.5		95.0		92.5		92.5		95.0		93.5
  Q		70.0		72.5		72.5		72.5		70.0		71.5
  R		85.0		85.0		85.0		87.5		90.0		86.5
  S		95.0		92.5		95.0		95.0		100.0		95.5
  T		92.5		90.0		87.5		95.0		102.49999999999999		93.5
  U		87.5		92.5		90.0		92.5		100.0		92.5
  V		87.5		87.5		92.5		92.5		90.0		90.0
  W		87.5		82.5		87.5		87.5		87.5		86.5
  X		87.5		87.5		90.0		92.5		97.5		91.0
  Y		87.5		82.5		82.5		82.5		95.0		86.0
  Z		97.5		97.5		97.5		97.5		102.49999999999999		98.5
MEDIA	87.11538461538461	87.88461538461539	87.59615384615384	87.40384615384616	92.11538461538461	88.42307692307693

