Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		92.5		95.0		95.0		94.5
  B		65.0		72.5		65.0		62.5		72.5		67.5
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		67.5		77.5		80.0		77.5		80.0		76.5
  E		77.5		75.0		80.0		80.0		80.0		78.5
  F		90.0		87.5		90.0		87.5		92.5		89.5
  G		60.0		65.0		65.0		65.0		62.5		63.5
  H		95.0		97.5		97.5		97.5		102.49999999999999		98.0
  I		82.5		87.5		87.5		87.5		97.5		88.5
  J		85.0		85.0		82.5		85.0		90.0		85.5
  K		90.0		90.0		90.0		85.0		100.0		91.0
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		82.5		87.5		87.5		77.5		87.5		84.5
  N		92.5		90.0		92.5		92.5		95.0		92.5
  O		90.0		90.0		85.0		90.0		95.0		90.0
  P		92.5		92.5		92.5		95.0		97.5		94.0
  Q		65.0		67.5		67.5		70.0		72.5		68.5
  R		82.5		85.0		87.5		87.5		92.5		87.0
  S		95.0		92.5		95.0		95.0		95.0		94.5
  T		92.5		95.0		90.0		95.0		100.0		94.5
  U		87.5		92.5		90.0		87.5		102.49999999999999		92.0
  V		90.0		90.0		90.0		87.5		92.5		90.0
  W		87.5		82.5		85.0		87.5		87.5		86.0
  X		90.0		85.0		90.0		90.0		97.5		90.5
  Y		87.5		87.5		87.5		77.5		87.5		85.5
  Z		97.5		97.5		97.5		97.5		102.49999999999999		98.5
MEDIA	85.96153846153847	87.01923076923077	87.01923076923077	86.4423076923077	91.63461538461539	87.61538461538461

