Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		95.0		95.0		90.0		95.0		100.0		95.0
  B		72.5		82.5		70.0		72.5		72.5		74.0
  C		97.5		97.5		97.5		97.5		107.5		99.5
  D		72.5		80.0		82.5		77.5		80.0		78.5
  E		80.0		77.5		80.0		72.5		87.5		79.5
  F		92.5		90.0		90.0		90.0		87.5		90.0
  G		65.0		70.0		67.5		65.0		70.0		67.5
  H		95.0		97.5		97.5		95.0		105.0		98.0
  I		87.5		87.5		90.0		87.5		92.5		89.0
  J		87.5		87.5		80.0		87.5		95.0		87.5
  K		90.0		90.0		90.0		85.0		102.49999999999999		91.5
  L		97.5		97.5		97.5		97.5		97.5		97.5
  M		85.0		90.0		85.0		80.0		90.0		86.0
  N		90.0		90.0		92.5		92.5		95.0		92.0
  O		90.0		90.0		85.0		87.5		95.0		89.5
  P		92.5		95.0		92.5		95.0		97.5		94.5
  Q		65.0		70.0		70.0		72.5		75.0		70.5
  R		82.5		90.0		87.5		87.5		82.5		86.0
  S		95.0		92.5		95.0		95.0		100.0		95.5
  T		92.5		90.0		87.5		95.0		102.49999999999999		93.5
  U		90.0		95.0		92.5		90.0		97.5		93.0
  V		87.5		87.5		90.0		90.0		95.0		90.0
  W		87.5		82.5		85.0		85.0		92.5		86.5
  X		92.5		90.0		90.0		92.5		92.5		91.5
  Y		82.5		82.5		90.0		80.0		95.0		86.0
  Z		97.5		97.5		97.5		97.5		102.49999999999999		98.5
MEDIA	87.01923076923077	88.26923076923077	87.40384615384616	87.01923076923077	92.6923076923077	88.48076923076924

