Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		5.0		7.5		7.5		2.5		7.5		6.0
  B		15.0		5.0		12.5		12.5		25.0		14.0
  C		7.5		10.0		7.5		7.5		7.5		8.0
  D		20.0		20.0		10.0		2.5		17.5		14.0
  E		12.5		0.0		2.5		5.0		0.0		4.0
  F		7.5		2.5		2.5		5.0		12.5		6.0
  G		10.0		10.0		10.0		7.5		17.5		11.0
  H		15.0		12.5		5.0		10.0		10.0		10.5
  I		15.0		10.0		2.5		7.5		17.5		10.5
  J		10.0		5.0		5.0		5.0		10.0		7.0
  K		12.5		17.5		17.5		12.5		12.5		14.5
  L		5.0		0.0		2.5		5.0		7.5		4.0
  M		7.5		7.5		5.0		10.0		10.0		8.0
  N		7.5		15.0		12.5		7.5		17.5		12.0
  O		17.5		5.0		15.0		7.5		15.0		12.0
  P		10.0		7.5		5.0		5.0		10.0		7.5
  Q		5.0		2.5		7.5		5.0		5.0		5.0
  R		20.0		5.0		15.0		15.0		17.5		14.5
  S		7.5		10.0		7.5		7.5		10.0		8.5
  T		7.5		2.5		7.5		10.0		12.5		8.0
  U		12.5		17.5		7.5		12.5		7.5		11.5
  V		12.5		5.0		10.0		10.0		12.5		10.0
  W		7.5		5.0		5.0		12.5		5.0		7.0
  X		7.5		12.5		2.5		5.0		10.0		7.5
  Y		15.0		17.5		15.0		7.5		7.5		12.5
  Z		7.5		10.0		7.5		10.0		5.0		8.0
MEDIA	10.76923076923077	8.557692307692308	7.980769230769231	7.980769230769231	11.153846153846153	9.288461538461538

