Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		10.0		5.0		5.0		5.0		10.0		7.0
  B		35.0		27.500000000000004		12.5		35.0		30.0		28.0
  C		7.5		5.0		5.0		2.5		15.0		7.0
  D		30.0		25.0		25.0		32.5		35.0		29.5
  E		15.0		12.5		10.0		10.0		15.0		12.5
  F		10.0		10.0		5.0		2.5		2.5		6.0
  G		15.0		15.0		12.5		7.5		27.500000000000004		15.5
  H		17.5		10.0		10.0		10.0		7.5		11.0
  I		20.0		5.0		15.0		10.0		27.500000000000004		15.5
  J		15.0		15.0		17.5		20.0		20.0		17.5
  K		15.0		20.0		12.5		7.5		25.0		16.0
  L		2.5		5.0		7.5		10.0		12.5		7.5
  M		25.0		22.5		10.0		10.0		20.0		17.5
  N		22.5		22.5		12.5		12.5		22.5		18.5
  O		22.5		17.5		20.0		22.5		32.5		23.0
  P		20.0		7.5		10.0		10.0		15.0		12.5
  Q		25.0		17.5		12.5		15.0		12.5		16.5
  R		20.0		15.0		10.0		17.5		22.5		17.0
  S		10.0		5.0		7.5		2.5		7.5		6.5
  T		10.0		10.0		5.0		15.0		15.0		11.0
  U		25.0		22.5		15.0		22.5		27.500000000000004		22.5
  V		17.5		22.5		17.5		22.5		20.0		20.0
  W		17.5		15.0		15.0		10.0		20.0		15.5
  X		20.0		20.0		5.0		0.0		10.0		11.0
  Y		17.5		12.5		12.5		10.0		12.5		13.0
  Z		12.5		7.5		5.0		12.5		7.5		9.0
MEDIA	17.596153846153847	14.326923076923077	11.346153846153847	12.884615384615385	18.173076923076923	14.865384615384617

