Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		7.5		7.5		7.5		7.5		7.5		7.5
  B		20.0		17.5		27.500000000000004		12.5		25.0		20.5
  C		7.5		5.0		2.5		2.5		10.0		5.5
  D		17.5		20.0		17.5		10.0		25.0		18.0
  E		12.5		15.0		10.0		5.0		10.0		10.5
  F		10.0		5.0		0.0		5.0		10.0		6.0
  G		17.5		5.0		7.5		12.5		10.0		10.5
  H		12.5		10.0		10.0		2.5		12.5		9.5
  I		10.0		12.5		5.0		7.5		12.5		9.5
  J		17.5		10.0		7.5		5.0		10.0		10.0
  K		7.5		17.5		12.5		7.5		20.0		13.0
  L		10.0		2.5		2.5		5.0		2.5		4.5
  M		20.0		15.0		17.5		7.5		17.5		15.5
  N		22.5		20.0		10.0		12.5		17.5		16.5
  O		17.5		12.5		5.0		15.0		17.5		13.5
  P		12.5		7.5		5.0		17.5		25.0		13.5
  Q		20.0		15.0		10.0		7.5		7.5		12.0
  R		17.5		10.0		12.5		7.5		10.0		11.5
  S		7.5		5.0		2.5		5.0		0.0		4.0
  T		10.0		12.5		12.5		7.5		12.5		11.0
  U		25.0		15.0		15.0		15.0		25.0		19.0
  V		20.0		15.0		15.0		22.5		17.5		18.0
  W		17.5		15.0		10.0		0.0		10.0		10.5
  X		12.5		7.5		10.0		7.5		2.5		8.0
  Y		17.5		15.0		15.0		10.0		2.5		12.0
  Z		10.0		5.0		7.5		5.0		0.0		5.5
MEDIA	14.615384615384615	11.442307692307692	9.903846153846153	8.557692307692308	12.307692307692308	11.365384615384615

