Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		10.0		7.5		7.5		5.0		7.5		7.5
  B		22.5		20.0		12.5		15.0		20.0		18.0
  C		7.5		7.5		2.5		2.5		10.0		6.0
  D		25.0		15.0		12.5		20.0		27.500000000000004		20.0
  E		12.5		5.0		15.0		5.0		10.0		9.5
  F		5.0		2.5		2.5		2.5		2.5		3.0
  G		10.0		7.5		7.5		0.0		5.0		6.0
  H		7.5		10.0		10.0		10.0		5.0		8.5
  I		7.5		2.5		7.5		10.0		15.0		8.5
  J		12.5		10.0		2.5		5.0		5.0		7.0
  K		10.0		5.0		5.0		15.0		17.5		10.5
  L		2.5		5.0		5.0		5.0		2.5		4.0
  M		17.5		15.0		12.5		15.0		10.0		14.0
  N		7.5		5.0		10.0		12.5		17.5		10.5
  O		15.0		12.5		12.5		5.0		12.5		11.5
  P		17.5		12.5		5.0		7.5		10.0		10.5
  Q		12.5		7.5		7.5		17.5		12.5		11.5
  R		20.0		12.5		5.0		5.0		22.5		13.0
  S		2.5		2.5		2.5		2.5		5.0		3.0
  T		7.5		7.5		2.5		7.5		12.5		7.5
  U		22.5		12.5		10.0		10.0		12.5		13.5
  V		15.0		15.0		7.5		12.5		20.0		14.0
  W		15.0		2.5		7.5		7.5		12.5		9.0
  X		7.5		10.0		7.5		0.0		7.5		6.5
  Y		12.5		7.5		5.0		10.0		15.0		10.0
  Z		7.5		2.5		5.0		0.0		10.0		5.0
MEDIA	12.01923076923077	8.557692307692308	7.3076923076923075	7.980769230769231	11.826923076923077	9.538461538461538

