Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2		Test 3		Test 4		MEDIA
  A		15.0		10.0		15.0		12.5		12.5		13.0
  B		35.0		35.0		32.5		37.5		22.5		32.5
  C		10.0		7.5		7.5		12.5		7.5		9.0
  D		27.500000000000004		17.5		25.0		25.0		25.0		24.0
  E		15.0		5.0		12.5		10.0		15.0		11.5
  F		12.5		5.0		17.5		10.0		20.0		13.0
  G		22.5		17.5		22.5		27.500000000000004		22.5		22.5
  H		17.5		12.5		15.0		12.5		5.0		12.5
  I		20.0		15.0		15.0		17.5		17.5		17.0
  J		17.5		12.5		17.5		15.0		12.5		15.0
  K		20.0		17.5		25.0		17.5		15.0		19.0
  L		10.0		5.0		5.0		10.0		7.5		7.5
  M		20.0		22.5		17.5		20.0		12.5		18.5
  N		20.0		22.5		12.5		15.0		15.0		17.0
  O		17.5		22.5		22.5		25.0		17.5		21.0
  P		15.0		10.0		12.5		12.5		27.500000000000004		15.5
  Q		22.5		20.0		22.5		12.5		25.0		20.5
  R		17.5		17.5		15.0		20.0		12.5		16.5
  S		10.0		10.0		5.0		5.0		15.0		9.0
  T		10.0		12.5		5.0		10.0		5.0		8.5
  U		27.500000000000004		25.0		20.0		25.0		22.5		24.0
  V		22.5		25.0		30.0		22.5		20.0		24.0
  W		27.500000000000004		20.0		25.0		27.500000000000004		15.0		23.0
  X		17.5		20.0		17.5		15.0		22.5		18.5
  Y		20.0		12.5		15.0		17.5		17.5		16.5
  Z		12.5		10.0		7.5		5.0		12.5		9.5
MEDIA	18.557692307692307	15.76923076923077	16.826923076923077	16.923076923076923	16.25	16.865384615384617

