Se ha utilizado el Knn con una K de: 4Los resultados obtenidos han sido: 
 Letra 		Test 0:		Test 1:		Test 2:		Test 3:		Test 4:		MEDIA
  A		10.0		10.0		12.5		10.0		10.0		10.5
  B		27.5		20.0		15.0		12.5		20.0		19.0
  C		12.5		15.0		7.5		15.0		15.0		13.0
  D		17.5		22.5		15.0		7.5		15.0		15.5
  E		15.0		7.5		12.5		2.5		10.0		9.5
  F		12.5		2.5		10.0		10.0		20.0		11.0
  G		22.5		10.0		2.5		12.5		15.0		12.5
  H		12.5		5.0		10.0		10.0		10.0		9.5
  I		10.0		10.0		15.0		15.0		17.5		13.5
  J		12.5		12.5		7.5		7.5		15.0		11.0
  K		15.0		17.5		17.5		12.5		25.0		17.5
  L		10.0		5.0		5.0		2.5		7.5		6.0
  M		12.5		12.5		5.0		7.5		20.0		11.5
  N		10.0		5.0		5.0		5.0		7.5		6.5
  O		22.5		27.54		10.0		30.0		32.5		24.5
  P		12.5		10.0		2.5		7.5		10.0		8.5
  Q		20.0		10.0		7.5		2.5		17.5		11.5
  R		17.5		20.0		12.5		22.5		17.5		18.0
  S		10.0		5.0		5.0		5.0		12.5		7.5
  T		12.5		12.5		7.5		12.5		15.0		12.0
  U		25.0		17.5		20.0		22.5		20.0		21.0
  V		12.5		15.0		10.0		10.0		17.5		13.0
  W		17.5		2.5		5.0		0.0		12.5		7.5
  X		17.5		7.5		7.5		7.5		12.5		10.5
  Y		7.5		10.0		10.0		5.0		10.0		8.5
  Z		7.5		10.0		7.5		5.0		17.5		9.5
MEDIA		14.711538461538462	11.634615384615385	9.423076923076923	10.0	15.48076923076923	12.250

