Se ha utilizado el Knn con una K de: 5Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A	 100.0	 95.0	 90.0	 92.5	 100.0	 95.5
  B	 77.5	 82.5	 62.5	 85.0	 82.5	 78.0
  C	 100.0	 97.5	 97.5	 100.0	 100.0	 99.0
  D	 72.5	 85.0	 72.5	 72.5	 92.5	 79.0
  E	 80.0	 77.5	 80.0	 87.5	 82.5	 81.5
  F	 92.5	 82.5	 92.5	 92.5	 95.0	 91.0
  G	 65.0	 87.5	 75.0	 67.5	 70.0	 73.0
  H	 95.0	 97.5	 97.5	 97.5	 100.0	 97.5
  I	 87.5	 90.0	 95.0	 87.5	 90.0	 90.0
  J	 95.0	 95.0	 77.5	 90.0	 85.0	 88.5
  K	 90.0	 92.5	 92.5	 97.5	 85.0	 91.5
  L	 95.0	 92.5	 100.0	 100.0	 100.0	 97.5
  M	 82.5	 97.5	 90.0	 77.5	 85.0	 86.5
  N	 87.5	 92.5	 97.5	 92.5	 95.0	 93.0
  O	 90.0	 92.5	 92.5	 90.0	 80.0	 89.0
  P	 92.5	 95.0	 95.0	 95.0	 87.5	 93.0
  Q	 77.5	 77.5	 75.0	 60.0	 80.0	 74.0
  R	 85.0	 90.0	 87.5	 87.5	 92.5	 88.5
  S	 95.0	 92.5	 95.0	 95.0	 97.5	 95.0
  T	 90.0	 92.5	 87.5	 100.0	 97.5	 93.5
  U	 95.0	 100.0	 87.5	 90.0	 92.5	 93.0
  V	 90.0	 95.0	 90.0	 90.0	 92.5	 91.5
  W	 90.0	 77.5	 82.5	 95.0	 90.0	 87.0
  X	 90.0	 90.0	 87.5	 92.5	 95.0	 91.0
  Y	 92.5	 97.5	 90.0	 72.5	 92.5	 89.0
  Z	 97.5	 100.0	 97.5	 97.5	 100.0	 98.5
MEDIA	 88.65384615384616	 90.96153846153847	 87.98076923076923	 88.65384615384616	 90.76923076923077	89.404

